user_id,duolingo_start_date,daily_goal,highest_course_progress,took_placement_test,purchased_subscription,highest_crown_count,n_active_days,n_lessons_started,n_lessons_completed,longest_streak,n_days_on_platform
35cb7e8f72c911e9888edca9049399ef,6/20/18 21:14,,46.0,True,False,277.0,88,741.0,668.0,135,137
35ca34fd72c911e99ed6dca9049399ef,8/8/17 5:01,,50.0,True,False,62.0,16,57.0,57.0,6,453
35d1a54a72c911e98e25dca9049399ef,10/15/14 17:55,1.0,71.0,False,False,202.0,29,315.0,295.0,55,1481
35d4beb072c911e9aa92dca9049399ef,10/5/18 9:28,,2.0,False,False,2.0,3,6.0,5.0,1,30
35ccf4bd72c911e9be2edca9049399ef,9/17/15 3:16,,34.0,False,False,216.0,57,338.0,297.0,56,1144
35ce7c1c72c911e9b0e4dca9049399ef,10/6/18 10:34,30.0,9.0,False,True,46.0,28,305.0,292.0,13,29
35d540eb72c911e9af04dca9049399ef,7/26/13 20:53,1.0,64.0,False,False,299.0,46,62.0,62.0,1228,1927
35cba80272c911e9beffdca9049399ef,2/24/13 18:08,,45.0,False,True,73.0,34,131.0,112.0,46,2079
35d0286372c911e98aa2dca9049399ef,3/23/16 7:50,50.0,32.0,False,False,184.0,90,382.0,359.0,187,956
35cad8bd72c911e99f09dca9049399ef,1/17/18 22:39,30.0,21.0,True,True,144.0,65,601.0,552.0,47,291
35d7879472c911e9893bdca9049399ef,5/20/17 14:04,50.0,15.0,True,False,29.0,2,3.0,0.0,0,533
35d6e88272c911e9b159dca9049399ef,7/2/18 12:02,,18.0,True,False,62.0,94,214.0,209.0,119,125
35d5c99972c911e99f73dca9049399ef,10/15/18 1:19,20.0,3.0,False,False,3.0,6,19.0,13.0,1,20
35cc9d3d72c911e9afe4dca9049399ef,11/12/16 10:01,,26.0,False,False,63.0,13,1.0,1.0,1,722
35d09f0572c911e988a1dca9049399ef,1/16/17 18:53,30.0,38.0,False,False,155.0,28,156.0,125.0,2,657
35d3f9c772c911e98588dca9049399ef,9/16/18 13:54,,2.0,False,False,,21,55.0,59.0,3,49
35cbdf3372c911e9a00ddca9049399ef,5/16/18 22:22,,14.0,False,False,44.0,36,58.0,55.0,5,172
35ceb53872c911e99a94dca9049399ef,4/15/18 18:11,,29.0,False,False,129.0,81,376.0,347.0,57,203
35d2374c72c911e9bd8ddca9049399ef,11/24/17 16:50,20.0,29.0,True,True,153.0,73,329.0,249.0,33,345
35d53b0f72c911e9944fdca9049399ef,1/15/15 16:19,,72.0,True,False,210.0,95,805.0,797.0,280,1389
35d2a70f72c911e99701dca9049399ef,10/14/18 6:15,,5.0,False,False,20.0,18,128.0,122.0,15,21
35cf079c72c911e9a6e1dca9049399ef,3/31/17 8:23,,33.0,True,False,292.0,80,111.0,110.0,35,583
35cc9aee72c911e9b9a2dca9049399ef,10/31/18 11:49,20.0,4.0,False,False,4.0,5,14.0,14.0,3,4
35d66eae72c911e996d8dca9049399ef,3/18/16 5:30,30.0,34.0,True,True,180.0,33,86.0,84.0,6,961
35cbd98072c911e9bd12dca9049399ef,2/3/17 15:53,20.0,72.0,True,False,198.0,95,1708.0,1560.0,281,639
35d4196872c911e9a587dca9049399ef,8/20/17 12:09,,31.0,True,True,275.0,95,843.0,819.0,346,441
35d4981772c911e9ae09dca9049399ef,9/24/18 11:24,10.0,3.0,False,False,5.0,8,35.0,31.0,2,41
35d712dc72c911e98c34dca9049399ef,1/5/18 15:13,,16.0,True,False,31.0,7,26.0,23.0,6,303
35d68a2372c911e98e37dca9049399ef,10/2/18 5:54,,1.0,False,False,0.0,3,1.0,1.0,0,33
35cdf31472c911e9a2dadca9049399ef,7/25/18 20:03,10.0,5.0,False,False,18.0,81,156.0,143.0,69,102
35d20b0272c911e99309dca9049399ef,3/14/18 21:55,,34.0,True,False,340.0,87,452.0,460.0,103,235
35cb69b372c911e9bac0dca9049399ef,3/27/13 18:35,,16.0,False,False,93.0,29,518.0,491.0,16,2048
35d2fc0f72c911e9a97ddca9049399ef,3/25/15 22:00,,49.0,False,False,,7,47.0,42.0,3,1320
35d529ae72c911e9b4a3dca9049399ef,12/31/16 13:36,,7.0,False,False,14.0,4,15.0,14.0,1,673
35cc66ab72c911e99b4fdca9049399ef,9/5/18 20:16,,11.0,True,False,64.0,25,190.0,144.0,6,60
35d00bde72c911e9ad63dca9049399ef,12/3/17 16:33,20.0,5.0,False,False,7.0,3,3.0,3.0,1,336
35d4cf3572c911e9aa27dca9049399ef,10/5/18 15:46,,2.0,False,False,7.0,12,42.0,35.0,4,30
35d6010772c911e99f36dca9049399ef,6/21/18 16:35,,10.0,False,False,,64,235.0,214.0,11,136
35ca78a672c911e99a83dca9049399ef,12/27/16 22:41,10.0,23.0,False,True,100.0,93,163.0,122.0,196,677
35d33a9172c911e98b2bdca9049399ef,9/25/13 23:26,,31.0,True,False,161.0,57,342.0,300.0,33,1866
35d278c772c911e9a0f9dca9049399ef,9/24/16 0:07,,34.0,False,True,152.0,82,519.0,511.0,42,771
35d64d5172c911e99157dca9049399ef,2/3/16 21:18,,23.0,False,False,83.0,23,128.0,115.0,6,1005
35ce5a6672c911e9948edca9049399ef,11/21/17 15:09,,58.0,True,True,534.0,65,437.0,428.0,42,348
35cbe06872c911e9b853dca9049399ef,1/15/15 23:39,20.0,51.0,True,True,176.0,79,140.0,130.0,213,1389
35d21a8572c911e9a4aedca9049399ef,8/18/18 7:14,,25.0,True,False,181.0,77,334.0,337.0,78,78
35cc466872c911e9a4b7dca9049399ef,10/15/18 6:09,,4.0,False,False,5.0,9,24.0,19.0,4,20
35d6c59772c911e98bd9dca9049399ef,3/15/15 16:26,,30.0,False,False,201.0,77,294.0,283.0,40,1330
35d4037572c911e980ccdca9049399ef,9/1/14 1:27,,43.0,True,False,31.0,3,11.0,8.0,1,1525
35d6305772c911e98004dca9049399ef,6/19/17 19:43,,12.0,False,False,52.0,40,264.0,262.0,20,503
35cb239472c911e9af3bdca9049399ef,7/25/18 11:05,50.0,7.0,False,True,44.0,86,649.0,564.0,96,102
35d30e6b72c911e9bccbdca9049399ef,8/30/17 11:23,,20.0,False,False,34.0,41,262.0,255.0,22,431
35d418e872c911e999b5dca9049399ef,1/28/16 17:03,10.0,23.0,False,False,143.0,74,219.0,89.0,772,1011
35d1073372c911e98e10dca9049399ef,5/1/14 15:46,,25.0,False,False,100.0,4,60.0,58.0,4,1648
35cd3d7a72c911e990e1dca9049399ef,8/13/18 6:57,,28.0,True,False,75.0,82,477.0,472.0,81,83
35d78f9472c911e99245dca9049399ef,10/16/18 23:42,,2.0,False,False,1.0,3,11.0,7.0,1,19
35cedfae72c911e9b9bedca9049399ef,8/16/18 6:40,,14.0,True,False,77.0,68,472.0,466.0,15,80
35cf19a672c911e9bdb4dca9049399ef,11/10/16 18:26,,31.0,True,False,,95,256.0,226.0,78,724
35caf97072c911e9a039dca9049399ef,7/23/15 1:23,30.0,55.0,True,True,49.0,9,44.0,35.0,1,1200
35ce19d472c911e9aedfdca9049399ef,6/8/17 15:42,50.0,31.0,False,True,95.0,56,846.0,819.0,55,514
35cd941e72c911e9a475dca9049399ef,9/30/18 4:52,20.0,2.0,False,False,1.0,4,4.0,3.0,0,35
35cc580572c911e9b8a3dca9049399ef,9/5/18 21:30,20.0,22.0,False,True,44.0,55,285.0,272.0,59,60
35cc05b872c911e98d11dca9049399ef,10/4/13 0:36,,64.0,False,False,219.0,84,255.0,239.0,48,1857
35d5121e72c911e9a215dca9049399ef,9/21/17 6:55,20.0,25.0,False,False,62.0,28,55.0,47.0,6,409
35ce925e72c911e9ad76dca9049399ef,6/7/16 18:29,,31.0,False,False,104.0,95,193.0,189.0,63,880
35cfc04a72c911e9a31edca9049399ef,2/19/15 8:23,10.0,64.0,False,False,140.0,86,221.0,201.0,155,1354
35d0b27072c911e99ff0dca9049399ef,8/31/15 17:29,20.0,58.0,True,True,269.0,49,259.0,254.0,6,1161
35d5935772c911e9804cdca9049399ef,3/6/17 22:31,,83.0,True,False,186.0,30,91.0,85.0,2,608
35d43fee72c911e98755dca9049399ef,10/31/18 13:40,,15.0,True,False,31.0,5,25.0,25.0,5,4
35d609fa72c911e9b04cdca9049399ef,5/27/18 12:01,10.0,16.0,False,False,23.0,7,8.0,6.0,1,161
35cbc6b572c911e99ebddca9049399ef,9/10/18 22:42,30.0,7.0,False,False,55.0,49,537.0,442.0,15,55
35d07e0c72c911e995bfdca9049399ef,5/2/18 7:17,20.0,8.0,False,False,53.0,93,187.0,187.0,44,186
35cd867372c911e99041dca9049399ef,3/3/16 1:10,30.0,34.0,True,False,139.0,1,3.0,3.0,0,976
35d26cd172c911e99ceedca9049399ef,11/14/16 22:32,20.0,7.0,False,True,43.0,52,299.0,288.0,14,720
35d43b5172c911e9addddca9049399ef,5/21/14 7:51,,31.0,False,False,234.0,93,108.0,105.0,855,1628
35d2d17372c911e98adadca9049399ef,8/15/18 11:18,50.0,35.0,True,False,125.0,78,719.0,585.0,44,81
35cd627872c911e98bfbdca9049399ef,12/21/17 6:11,20.0,32.0,False,False,153.0,83,218.0,209.0,46,318
35d12f5172c911e9bfd1dca9049399ef,3/11/18 23:22,,34.0,True,True,166.0,66,487.0,429.0,24,238
35d1cc1472c911e9b018dca9049399ef,6/30/18 3:26,,14.0,True,True,96.0,69,260.0,241.0,127,127
35cb5ad172c911e9be94dca9049399ef,1/7/17 19:59,20.0,64.0,False,True,269.0,93,557.0,523.0,178,666
35ceaef872c911e98843dca9049399ef,8/7/14 12:40,,7.0,False,True,16.0,19,38.0,36.0,18,1550
35ce6b0072c911e9b464dca9049399ef,10/6/18 13:25,,29.0,True,False,74.0,30,290.0,282.0,30,29
35cb857a72c911e9bb47dca9049399ef,9/5/18 21:16,,17.0,False,False,29.0,35,127.0,107.0,11,60
35cb12a172c911e9a5aedca9049399ef,10/12/15 1:12,10.0,1.0,False,False,0.0,2,,,0,1119
